name,country,party,national_party,profile_url,mep_id,photo_url
Gheorghe Cârciu,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party,https://www.europarl.europa.eu/meps/en/257100,257100.0,
Gheorghe Falcă,Romania,Group of the European People's Party (Christian Democrats),National Liberal Party,https://www.europarl.europa.eu/meps/en/197649,197649.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718637377922%2020190604%20FALCA%20Gheorghe%20RO%208.jpg
Gheorghe Piperea,Romania,European Conservatives and Reformists Group,Alliance for the Union of Romanians,https://www.europarl.europa.eu/meps/en/257115,257115.0,http://commons.wikimedia.org/wiki/Special:FilePath/Gheorghe%20Piperea%20MEP%20%282024%29.jpg
Gilles Boyer,France,Renew Europe Group,The Republicans,https://www.europarl.europa.eu/meps/en/197577,197577.0,http://commons.wikimedia.org/wiki/Special:FilePath/Gilles%20boyer%201006562.jpg
Gilles Pennelle,France,Patriots for Europe Group,Party of New Forces,https://www.europarl.europa.eu/meps/en/126699,126699.0,http://commons.wikimedia.org/wiki/Special:FilePath/Gilles.Pennelle.jpg
Giorgio Gori,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/257102,257102.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Giorgio%20Gori.jpg
Giorgos Aftias,Greece,,New Democracy,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718798627855%2020240618%20AFTIAS%20Georgios%20EL%20002.jpg
Giorgos Georgiou,Cyprus,,Progressive Party of Working People,https://www.europarl.europa.eu/meps/en/197416,197416.0,http://commons.wikimedia.org/wiki/Special:FilePath/Giorgos%20Georgiou%20%2848941461176%29%20%28cropped%29.jpg
Giovanni Crosetto,Italy,European Conservatives and Reformists Group,,https://www.europarl.europa.eu/meps/en/257094,257094.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Giovanni%20Crosetto.jpg
Giuseppe Antoci,Italy,,,https://www.europarl.europa.eu/meps/en/257138,257138.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Giuseppe%20Antoci.jpg
Giuseppe Lupo,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/257124,257124.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718797737409%2020240618%20LUPO%20Giuseppe%20IT%20006.jpg
Giuseppe Milazzo,Italy,European Conservatives and Reformists Group,The People of Freedom,https://www.europarl.europa.eu/meps/en/197824,197824.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810389106%2020240619%20MILAZZO%20Giuseppe%20IT%20009.jpg
Giuseppina Picierno,Italy,,Democratic Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/Giuseppina%20Picierno%20daticamera.jpg
Giuseppina Princi,Group of the European Conservatives and Reformists,,,https://www.europarl.europa.eu/meps/en/257128/GIUSI_PRINCI/home,257128.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720443647730%2020240708%20PRINCI%20Giuseppina%20IT%20021.jpg
Gordan Bosanac,Croatia,Group of the Greens/European Free Alliance,,https://www.europarl.europa.eu/meps/en/256995,256995.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719236888446%2020240612%20BOSANAC%20Gordan%20HR%2008.jpg
Grzegorz Braun,Poland,,Confederation of the Polish Crown,https://www.europarl.europa.eu/meps/en/257067,257067.0,http://commons.wikimedia.org/wiki/Special:FilePath/Grzegorz%20Braun%20MEP%20%282024%29.jpg
Grégory Allione,France,Renew Europe Group,,https://www.europarl.europa.eu/meps/en/256869,256869.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798679783%2020240618%20ALLIONE%20Gregory%20FR%20009.jpg
Guillaume Peltier,France,European Conservatives and Reformists Group,Identity–Freedoms,https://www.europarl.europa.eu/meps/en/30123,30123.0,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20de%20Guillaume%20Peltier%2C%20avril%202022.jpg
György Hölvényi,Hungary,Patriots for Europe Group,Christian Democratic People's Party,https://www.europarl.europa.eu/meps/en/124715,124715.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721729249383%2020240723%20EP-171128A%20DLL%20190%20%28cropped%29.jpg
Günther Sidl,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Austria,https://www.europarl.europa.eu/meps/en/197677,197677.0,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%BCnther%20Sidl%20%282019%29.jpg
Hana Jalloul Muro,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spanish Socialist Workers' Party,https://www.europarl.europa.eu/meps/en/256992,256992.0,http://commons.wikimedia.org/wiki/Special:FilePath/Hana%20Jalloul%20Muro%20MEP%20%282024%29.jpg
Hanna Gedin,Sweden,,Left Party,https://www.europarl.europa.eu/meps/en/257092,257092.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718637079258%2020240611%20GEDIN%20Hanna%20SE%20011.jpg
Hanna Gronkiewicz-Waltz,Poland,Group of the European People's Party (Christian Democrats),Civic Platform,https://www.europarl.europa.eu/meps/en/262021,262021.0,http://commons.wikimedia.org/wiki/Special:FilePath/Hanna%20Gronkiewicz-Waltz%20%282014%29.JPG
Hannah Neumann,Germany,Group of the Greens/European Free Alliance,Alliance '90/The Greens,https://www.europarl.europa.eu/meps/en/197464,197464.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720519258569%2020240709%20NEUMANN%20Hannah%20DE%20015.jpg
Hannes Heide,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Austria,https://www.europarl.europa.eu/meps/en/197682,197682.0,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Hannes%20Heide%20%2832170102008%29%20%28cropped%29.jpg
Hans Neuhoff,Germany,Europe of Sovereign Nations Group,Alternative for Germany,https://www.europarl.europa.eu/meps/en/256944,256944.0,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Neuhoff%20%282024%29.jpg
Harald Vilimsky,Austria,Patriots for Europe Group,Austrian Freedom Party,https://www.europarl.europa.eu/meps/en/125001,125001.0,http://commons.wikimedia.org/wiki/Special:FilePath/Harald%20Vilimsky%20-%20FP%C3%96-Neujahrstreffen%202019.JPG
Helmut Brandstätter,Austria,Renew Europe Group,NEOS – The New Austria,https://www.europarl.europa.eu/meps/en/256841,256841.0,http://commons.wikimedia.org/wiki/Special:FilePath/Helmut%20Brandst%C3%A4tter%20-%20Buchmesse%20Wien%202018.JPG
Heléne Fritzon,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Swedish Social Democratic Party,https://www.europarl.europa.eu/meps/en/197391,197391.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281309719%2020240612%20FRITZON%20Helene%20SE%20003.jpg
Henna Virkkunen,Finland,,National Coalition Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718869849735%2020240619%20VIRKKUNEN%20Henna%20FI%20008.jpg
Henrik Dahl,Kingdom of Denmark,Group of the European People's Party (Christian Democrats),Liberal Alliance,https://www.europarl.europa.eu/meps/en/257028,257028.0,http://commons.wikimedia.org/wiki/Special:FilePath/State%20sponsored%20terrorism%20by%20the%20Islamic%20Republic%20of%20Iran%20in%20light%20of%20the%20recent%20attacks%20in%20Europe%20%2827%29.jpg
Herbert Dorfmann,Italy,Group of the European People's Party (Christian Democrats),South Tyrolean People's Party,https://www.europarl.europa.eu/meps/en/96787,96787.0,http://commons.wikimedia.org/wiki/Special:FilePath/Herbert%20Dorfmann%2001.JPG
Hermann Tertsch,Spain,Patriots for Europe Group,independent politician,https://www.europarl.europa.eu/meps/en/197831,197831.0,http://commons.wikimedia.org/wiki/Special:FilePath/%28Hermann%20Tertsch%29%20Isabel%20D%C3%ADaz%20Ayuso%20acude%20a%20la%20Fundaci%C3%B3n%20Villacisneros.%20%2846925692681%29%20%28cropped%29.jpg
Hilde Vautmans,Belgium,Renew Europe Group,Open Flemish Liberals and Democrats,https://www.europarl.europa.eu/meps/en/130100,130100.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721746548419%2020240723%20EP-171114A%20PHB%20240.jpg
Hildegard Bentele,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/197408,197408.0,http://commons.wikimedia.org/wiki/Special:FilePath/2017-11-16%20Hildegard%20Bentele%20by%20Sandro%20Halank%E2%80%931.jpg
Hristo Petrov,Bulgaria,Renew Europe Group,,https://www.europarl.europa.eu/meps/en/257257,257257.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810729664%2020240619%20PETROV%20Hristo%20BG%20012.jpg
Hélder Sousa Silva,Portugal,Group of the European People's Party (Christian Democrats),,https://www.europarl.europa.eu/meps/en/257068,257068.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718870156840%2020240619%20SOUSA%20SILVA%20Helder%20PT%20008.jpg
Idoia Mendia Cueva,Spain,,Socialist Party of the Basque Country – Basque Country Left,,,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20perfil%20Vicelehendakari%20Idoia.jpg
Ignazio Marino,Group of the European Conservatives and Reformists,,Democratic Party,https://www.europarl.europa.eu/meps/en/257132/IGNAZIO+ROBERTO_MARINO/home,257132.0,http://commons.wikimedia.org/wiki/Special:FilePath/Ignazio%20Marino%20-%20Festivaletteratura%202012%2001.JPG
Ilaria Salis,Italy,The Left in the European Parliament - GUE/NGL,independent politician,https://www.europarl.europa.eu/meps/en/257127,257127.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Ilaria%20Salis.jpg
Ilhan Kyuchuk,Bulgaria,,Movement for Rights and Freedoms,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ilhan%20Kyuchyuk.jpg
Iliya Lazarov,Bulgaria,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718705210498%2020240617%20LAZAROV%20Ilia%20BG%20008.jpg
Inese Vaidere,Latvia,Group of the European People's Party (Christian Democrats),Unity Party,https://www.europarl.europa.eu/meps/en/28617,28617.0,http://commons.wikimedia.org/wiki/Special:FilePath/Vaidere%20Inese%202014-02-05%202.jpg
Ingeborg ter Laak,Kingdom of the Netherlands,Group of the European People's Party (Christian Democrats),Christian Democratic Appeal,https://www.europarl.europa.eu/meps/en/256968,256968.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281849271%2020240612%20ter%20LAAK%20Ingeborg%20NL%20002.jpg
Ioannis Maniatis,Greece,,Panhellenic Socialist Movement,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718289219610%2020240611%20MANIATIS%20Ioannis%20EL%2005.jpg
Iratxe García,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spanish Socialist Workers' Party,https://www.europarl.europa.eu/meps/en/28298,28298.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720623927025%2020240710%20GARCIA%20PEREZ%20Iratxe%20ES%20014.jpg
Irena Joveva,Slovenia,Renew Europe Group,List of Marjan Šarec,https://www.europarl.europa.eu/meps/en/197447,197447.0,http://commons.wikimedia.org/wiki/Special:FilePath/Irena%20Joveva.jpg
Irene Tinagli,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/197591,197591.0,http://commons.wikimedia.org/wiki/Special:FilePath/Irene%20Tinagli%20daticamera.jpg
Irmhild Boßdorf,Germany,Europe of Sovereign Nations Group,Alternative for Germany,https://www.europarl.europa.eu/meps/en/256945,256945.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718282190153%2020240612%20Irmhild%20Bossdorf%20DE%20011.jpg
Isabel Benjumea,Spain,Group of the European People's Party (Christian Democrats),People's Party,https://www.europarl.europa.eu/meps/en/197679,197679.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719328297379%2020240625%20BENJUMEA%20BENJUMEA%20Isabel%20ES%20014.jpg
Isabel Serra,Spain,,Podemos,https://www.europarl.europa.eu/meps/en/257009,257009.0,http://commons.wikimedia.org/wiki/Special:FilePath/Isabel%20Serra%20S%C3%A1nchez%2C%202024%20%28cropped%29.jpg
Isabel Wiseler-Santos Lima,Luxembourg,,Christian Social People's Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718810238391%2020240619%20WISELER-LIMA%20Isabel%20LU%20011.jpg
Isabella Lövin,Sweden,Group of the Greens/European Free Alliance,Green Party,https://www.europarl.europa.eu/meps/en/96675,96675.0,http://commons.wikimedia.org/wiki/Special:FilePath/Isabella%20L%C3%B6vin.jpg
Isabella Tovaglieri,Italy,Patriots for Europe Group,Lega Nord,https://www.europarl.europa.eu/meps/en/197580,197580.0,http://commons.wikimedia.org/wiki/Special:FilePath/Isabella%20TOVAGLIERI%20in%20the%20EP%20in%20Strasbourg%2C%2002.01.24%20%2813%29.jpg
Isabelle Le Callennec,France,Group of the European People's Party (Christian Democrats),Union for a Popular Movement,https://www.europarl.europa.eu/meps/en/256920,256920.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718282810413%2020240612%20LE%20CALLENNEC%20Isabelle%20FR%20003.jpg
Isilda Gomes,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/257075,257075.0,http://commons.wikimedia.org/wiki/Special:FilePath/CoR%20Members%20portraits%20-%20Isilda%20Maria%20DOS%20SANTOS%20VARGES%20GOMES.jpg
Iulian Claudiu Manda,Romania,,Social Democratic Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/Claudiu%20Manda%201721733549073%2020240723%20EP-171140A%20DE1%20EG%2070%20%28cropped%29.jpg
Iuliu Winkler,Romania,Group of the European People's Party (Christian Democrats),Democratic Union of Hungarians in Romania,https://www.europarl.europa.eu/meps/en/39725,39725.0,http://commons.wikimedia.org/wiki/Special:FilePath/Iuliu%20Winkler.JPG
Ivan David,Czech Republic,Europe of Sovereign Nations Group,Freedom and Direct Democracy,https://www.europarl.europa.eu/meps/en/197556,197556.0,http://commons.wikimedia.org/wiki/Special:FilePath/Ivan%20David%202019.jpg
Ivars Ijabs,Latvia,Renew Europe Group,For Latvia's Development,https://www.europarl.europa.eu/meps/en/197624,197624.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718797657563%2020240618%20IJABS%20Ivars%20LV%20008.jpg
Ivaylo Vulchev,Bulgaria,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718705240687%2020240617%20VALCHEV%20Ivaylo%20BG%20007.jpg
Jaak Madison,Estonia,European Conservatives and Reformists Group,Estonian Centre Party,https://www.europarl.europa.eu/meps/en/197493,197493.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798568612%2020240618%20MADISON%20Jaak%20EE%20004.jpg
Jacek Ozdoba,Poland,European Conservatives and Reformists Group,Polska Razem,https://www.europarl.europa.eu/meps/en/257086,257086.0,http://commons.wikimedia.org/wiki/Special:FilePath/Jacek%20Ozdoba.jpg
Jacek Protas,Poland,Group of the European People's Party (Christian Democrats),Civic Platform,https://www.europarl.europa.eu/meps/en/257041,257041.0,http://commons.wikimedia.org/wiki/Special:FilePath/Jacek%20Protas%202022.jpg
Jadwiga Wiśniewska,Poland,European Conservatives and Reformists Group,Law and Justice,https://www.europarl.europa.eu/meps/en/124877,124877.0,http://commons.wikimedia.org/wiki/Special:FilePath/Jadwiga%20Wi%C5%9Bniewska.jpg
Jagna Marczułajtis,Poland,Group of the European People's Party (Christian Democrats),Civic Platform,https://www.europarl.europa.eu/meps/en/257082,257082.0,http://commons.wikimedia.org/wiki/Special:FilePath/Jagna%20Marczu%C5%82ajtis-Walczak%202022.jpg
Jan Farský,Czech Republic,Group of the European People's Party (Christian Democrats),Mayors and Independents,https://www.europarl.europa.eu/meps/en/256840,256840.0,http://commons.wikimedia.org/wiki/Special:FilePath/FARSKY%20Jan.jpg
Jan-Christoph Oetjen,Germany,Renew Europe Group,Free Democratic Party,https://www.europarl.europa.eu/meps/en/197432,197432.0,http://commons.wikimedia.org/wiki/Special:FilePath/Oetjen%2C%20Jan-Christoph.jpg
Jan-Peter Warnke,Germany,,Sahra Wagenknecht Alliance,https://www.europarl.europa.eu/meps/en/256967,256967.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719239146702%2020240624%20WARNKE%20Jan%20Peter%20DE%20003.jpg
Jana Nagyová,Czech Republic,Patriots for Europe Group,ANO 2011,https://www.europarl.europa.eu/meps/en/256843,256843.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720439638375%2020240708%20NAGYOVA%20Jana%20CZ%20025.jpg
Janusz Lewandowski,Poland,Group of the European People's Party (Christian Democrats),Liberal Democratic Congress,https://www.europarl.europa.eu/meps/en/23781,23781.0,http://commons.wikimedia.org/wiki/Special:FilePath/Janusz%20Lewandowski%20Sejm%202016.JPG
Jaroslav Bžoch,Czech Republic,Patriots for Europe Group,ANO 2011,https://www.europarl.europa.eu/meps/en/220840,220840.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718282894055%2020240612%20BZOCH%20Jaroslav%20CZ%20003.jpg
Jaroslav Knot,Czech Republic,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/270261,270261.0,
Jaroslava Pokorná Jermanová,Czech Republic,Patriots for Europe Group,ANO 2011,https://www.europarl.europa.eu/meps/en/256844,256844.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810700240%2020240619%20POKORNA%20JERMANOVA%20Jaroslava%20CZ%20011.jpg
Jaume Asens Llodrà,Spain,Group of the Greens/European Free Alliance,Procés Constituent,https://www.europarl.europa.eu/meps/en/257015,257015.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721737308960%2020240723%20EP-171121A%20PB9%20026%20%28Jaume%20Asens%20Llodr%C3%A0%29.jpg
Javier López Fernández,Spain,,Socialists' Party of Catalonia,,,http://commons.wikimedia.org/wiki/Special:FilePath/Javi%20L%C3%B3pez%2C%20Plenari%20del%20Parlament%20Europeu%20%28Estrasburg%29.png
Javier Moreno Sánchez,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spanish Socialist Workers' Party,https://www.europarl.europa.eu/meps/en/28347,28347.0,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Moreno%20S%C3%A1nchez%20MEP%202.jpg
Javier Zarzalejos,Spain,Group of the European People's Party (Christian Democrats),People's Party,https://www.europarl.europa.eu/meps/en/197606,197606.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719328298352%2020240625%20ZARZALEJOS%20Javier%20ES%20006.jpg
Jean-Marc Germain,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialist Party,https://www.europarl.europa.eu/meps/en/256901,256901.0,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Marc%20Germain%20%28crop%29.jpg
Jean-Paul Garraud,France,Patriots for Europe Group,The Popular Right,https://www.europarl.europa.eu/meps/en/197628,197628.0,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Garraud%20PAR%20SsDs%2007-2022%20%28cropped%29.jpg
Jeannette Baljeu,Kingdom of the Netherlands,Renew Europe Group,People's Party for Freedom and Democracy,https://www.europarl.europa.eu/meps/en/257003,257003.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719323377969%2020240625%20BALJEU%20Jeannette%20NL%20010.jpg
Jens Geier,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Germany,https://www.europarl.europa.eu/meps/en/96833,96833.0,http://commons.wikimedia.org/wiki/Special:FilePath/Jens%20niedrigeAufl%C3%B6sung2.jpg
Jens Gieseke,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/124807,124807.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718636868620%2020190605%20GIESEKE%20Jens%20DE%205.jpg
Jeroen Lenaers,Kingdom of the Netherlands,Group of the European People's Party (Christian Democrats),Christian Democratic Appeal,https://www.europarl.europa.eu/meps/en/95074,95074.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720621068953%2020190529%20LENAERS%20Jeroen%20NL%2026.jpg
Jessica Polfjärd,Sweden,Group of the European People's Party (Christian Democrats),Moderate Party,https://www.europarl.europa.eu/meps/en/197404,197404.0,http://commons.wikimedia.org/wiki/Special:FilePath/Jessica%20Polfj%C3%A4rd.jpg
Jessika van Leeuwen,Kingdom of the Netherlands,Group of the European People's Party (Christian Democrats),Farmer–Citizen Movement,https://www.europarl.europa.eu/meps/en/256983,256983.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720519180865%2020240709%20VAN%20LEEUWEN%20Jessika%20NL%20018.jpg
Joachim Brudziński,Poland,,Law and Justice,,,http://commons.wikimedia.org/wiki/Special:FilePath/Joachim%20Brudzi%C5%84ski%202008.jpg
Joachim Streit,Germany,Renew Europe Group,Free Voters,https://www.europarl.europa.eu/meps/en/256962,256962.0,http://commons.wikimedia.org/wiki/Special:FilePath/1722337179084%2020240717%20EP-170499A%20Joachim%20Streit%20DE2%20918-2.jpg
Joanna Scheuring-Wielgus,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Nowoczesna,https://www.europarl.europa.eu/meps/en/257084,257084.0,http://commons.wikimedia.org/wiki/Special:FilePath/Joanna%20Scheuring-Wielgus%20Sejm%202016%2001.JPG
Johan Danielsson,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Swedish Social Democratic Party,https://www.europarl.europa.eu/meps/en/38542,38542.0,http://commons.wikimedia.org/wiki/Special:FilePath/Andersson%20Cabinet%202021%20Johan%20Danielsson.jpg
Johan Van Overtveldt,Belgium,European Conservatives and Reformists Group,New Flemish Alliance,https://www.europarl.europa.eu/meps/en/125106,125106.0,http://commons.wikimedia.org/wiki/Special:FilePath/DOORSTEP%202016-09-09%20EUROGROUP%20Ministers%20%2829268771160%29.jpg
Jonas Sjöstedt,Sweden,,Left Party,https://www.europarl.europa.eu/meps/en/2268,2268.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721747314216%2020240723%20EP-171122A%20AH1%20304.jpg
Jonás Fernández,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spanish Socialist Workers' Party,https://www.europarl.europa.eu/meps/en/125046,125046.0,http://commons.wikimedia.org/wiki/Special:FilePath/El%20eurodiputado%20socialista%20Jon%C3%A1s%20Fern%C3%A1ndez%2001%20%28cropped%29.jpg
Jordan Bardella,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/131580,131580.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Jordan%20Bardella.jpg
Jorge Buxadé Villalba,Spain,Patriots for Europe Group,Vox,https://www.europarl.europa.eu/meps/en/197829,197829.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Jorge%20Buxad%C3%A9%20Villalba.jpg
Jorge Martín Frías,Spain,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/257029,257029.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810598798%2020240619%20MARTIN%20FRIAS%20Jorge%20ES%20006.jpg
José Cepeda,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spanish Socialist Workers' Party,https://www.europarl.europa.eu/meps/en/257002,257002.0,http://commons.wikimedia.org/wiki/Special:FilePath/CepedaSen2021.jpg
João Cotrim de Figueiredo,Portugal,Renew Europe Group,Liberal Initiative,https://www.europarl.europa.eu/meps/en/257057,257057.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281800993%2020240611%20COTRIM%20DE%20FIGUEIREDO%20Joao%20Fernando%20PT%20002.jpg
João Oliveira,Portugal,European United Left–Nordic Green Left,Portuguese Communist Party,https://www.europarl.europa.eu/meps/en/257083,257083.0,http://commons.wikimedia.org/wiki/Special:FilePath/Jo%C3%A3o%20Oliveira%2C%202024%20%28cropped%29.jpg
Juan Carlos Girauta,Spain,Patriots for Europe Group,Vox,https://www.europarl.europa.eu/meps/en/125052,125052.0,http://commons.wikimedia.org/wiki/Special:FilePath/Acto%20con%20Jorge%20Buxad%C3%A9%20y%20Juan%20Carlos%20Girauta%20en%20Alcorc%C3%B3n%2020%C2%B705%C2%B72024.jpg
Juan Ignacio Zoido,Spain,Group of the European People's Party (Christian Democrats),People's Party,https://www.europarl.europa.eu/meps/en/197621,197621.0,http://commons.wikimedia.org/wiki/Special:FilePath/%28Juan%20Ignacio%20Zoido%29%20Premios%20de%20la%20AVT%202018-2.jpg
Judita Laššáková,Slovakia,,,https://www.europarl.europa.eu/meps/en/198373,198373.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718870178130%2020240619%20LASSAKOVA%20Judita%20SL%20005.jpg
Julie Rechagneux,France,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/256882,256882.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719411499047%2020240626%20RECHAGNEUX%20Julie%20FR%20011.jpg
Julien Leonardelli,France,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/256895,256895.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719560617322%2020240627%20LEONARDELLI%20Julien%20FR%20007.jpg
Julien Sanchez,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/88552,88552.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Julien%20Sanchez.jpg
Jussi Saramo,Finland,,Left Alliance,https://www.europarl.europa.eu/meps/en/127766,127766.0,http://commons.wikimedia.org/wiki/Special:FilePath/Jussi%20Saramo%20kev%C3%A4%C3%A4ll%C3%A4%202020.jpg
Jutta Paulus,Germany,Group of the Greens/European Free Alliance,Alliance '90/The Greens,https://www.europarl.europa.eu/meps/en/197466,197466.0,http://commons.wikimedia.org/wiki/Special:FilePath/Pressefoto%20JuttaPaulus%202017.jpg
Jörgen Warborn,Sweden,Group of the European People's Party (Christian Democrats),Moderate Party,https://www.europarl.europa.eu/meps/en/197405,197405.0,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%B6rgen%20Warborn.jpg
Jüri Ratas,Estonia,Group of the European People's Party (Christian Democrats),Isamaa,https://www.europarl.europa.eu/meps/en/188096,188096.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798568612%2020240618%20RATAS%20Juri%20EE%20007.jpg
Kai Tegethoff,Germany,Group of the Greens/European Free Alliance,Volt Europa,https://www.europarl.europa.eu/meps/en/256965,256965.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718611559042%2020240614%20TEGETHOFF%20Kai%20DE%20002.jpg
Kamila Gasiuk-Pihowicz,Poland,Group of the European People's Party (Christian Democrats),Civic Platform,https://www.europarl.europa.eu/meps/en/257032,257032.0,http://commons.wikimedia.org/wiki/Special:FilePath/Kamila%20Gasiuk-Pihowicz%20by%20Lukasz%20Kaminski.jpg
Karin Karlsbro,Sweden,Renew Europe Group,Liberals,https://www.europarl.europa.eu/meps/en/197401,197401.0,http://commons.wikimedia.org/wiki/Special:FilePath/Karin%20K%20%28cropped%29.jpg
Karlo Ressler,Croatia,Group of the European People's Party (Christian Democrats),Croatian Democratic Union,https://www.europarl.europa.eu/meps/en/197413,197413.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798830502%2020240618%20RESSLER%20Karlo%20HR%20017.jpg
Katarina Barley,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Germany,https://www.europarl.europa.eu/meps/en/197433,197433.0,http://commons.wikimedia.org/wiki/Special:FilePath/Kat%20Barley%202023.jpg
Katarína Roth Neveďalová,Slovakia,,Direction – Social Democracy,https://www.europarl.europa.eu/meps/en/96653,96653.0,http://commons.wikimedia.org/wiki/Special:FilePath/Nevedalov%C3%A1%2C%20Katarina-2417.jpg
